Net Asset Value,Repurchase Price,Sale Price,NAV date
13.0958,13.0303,13.0958,19-Sep-13
13.0863,13.0209,13.0863,20-Sep-13
13.0774,13.012,13.0774,23-Sep-13
13.0785,13.0131,13.0785,24-Sep-13
13.0906,13.0251,13.0906,25-Sep-13
13.1116,13.046,13.1116,26-Sep-13
13.1175,13.0519,13.1175,27-Sep-13
13.1322,13.0665,13.1322,30-Sep-13
13.1397,13.074,13.1397,01-Oct-13
13.161,13.0952,13.161,03-Oct-13
13.1754,13.1095,13.1754,04-Oct-13
13.193,13.127,13.193,07-Oct-13
13.2342,13.168,13.2342,08-Oct-13
13.2309,13.1647,13.2309,09-Oct-13
13.2316,13.1654,13.2316,10-Oct-13
13.2349,13.1687,13.2349,11-Oct-13
13.2377,13.1715,13.2377,14-Oct-13
13.2234,13.1573,13.2234,15-Oct-13
13.2342,13.168,13.2342,17-Oct-13
13.2502,13.1839,13.2502,18-Oct-13
13.26,13.1937,13.26,21-Oct-13
13.2634,13.1971,13.2634,22-Oct-13
13.2666,13.2003,13.2666,23-Oct-13
13.2681,13.2018,13.2681,24-Oct-13
13.2687,13.2024,13.2687,25-Oct-13
13.2761,13.2097,13.2761,28-Oct-13
13.2884,13.222,13.2884,29-Oct-13
13.292,13.2255,13.292,30-Oct-13
13.2942,13.2277,13.2942,31-Oct-13
13.2945,13.228,13.2945,01-Nov-13
13.3097,13.2432,13.3097,05-Nov-13
13.3069,13.2404,13.3069,06-Nov-13
13.2997,13.2332,13.2997,07-Nov-13
13.2987,13.2322,13.2987,08-Nov-13
13.291,13.2245,13.291,11-Nov-13
13.2887,13.2223,13.2887,12-Nov-13
13.28,13.2136,13.28,13-Nov-13
13.2792,13.2128,13.2792,14-Nov-13
13.2977,13.2312,13.2977,18-Nov-13
13.314,13.2474,13.314,19-Nov-13
13.3131,13.2465,13.3131,20-Nov-13
13.3172,13.2506,13.3172,21-Nov-13
13.3206,13.254,13.3206,22-Nov-13
13.3383,13.2716,13.3383,25-Nov-13
13.3581,13.2913,13.3581,26-Nov-13
13.3674,13.3006,13.3674,27-Nov-13
13.3747,13.3078,13.3747,28-Nov-13
13.3773,13.3104,13.3773,29-Nov-13
13.391,13.324,13.391,02-Dec-13
13.3963,13.3293,13.3963,03-Dec-13
13.4023,13.3353,13.4023,04-Dec-13
13.4187,13.3516,13.4187,05-Dec-13
13.4201,13.353,13.4201,06-Dec-13
13.4226,13.3555,13.4226,09-Dec-13
13.4226,13.3555,13.4226,10-Dec-13
13.4289,13.3618,13.4289,11-Dec-13
13.4385,13.3713,13.4385,12-Dec-13
13.428,13.3609,13.428,13-Dec-13
13.4389,13.3717,13.4389,16-Dec-13
13.4479,13.3807,13.4479,17-Dec-13
13.4623,13.395,13.4623,18-Dec-13
13.4645,13.3972,13.4645,19-Dec-13
13.4634,13.3961,13.4634,20-Dec-13
13.4746,13.4072,13.4746,23-Dec-13
13.4729,13.4055,13.4729,24-Dec-13
13.4807,13.4133,13.4807,26-Dec-13
13.4811,13.4137,13.4811,27-Dec-13
13.4884,13.421,13.4884,30-Dec-13
13.4953,13.4278,13.4953,31-Dec-13
13.5005,13.433,13.5005,01-Jan-14
13.5083,13.4408,13.5083,02-Jan-14
