Net Asset Value,Repurchase Price,Sale Price,NAV date
19.1289,19.1289,19.1289,01-Mar-18
19.1455,19.1455,19.1455,05-Mar-18
19.1555,19.1555,19.1555,06-Mar-18
19.1746,19.1746,19.1746,07-Mar-18
19.1856,19.1856,19.1856,08-Mar-18
19.1903,19.1903,19.1903,09-Mar-18
19.212,19.212,19.212,12-Mar-18
19.2247,19.2247,19.2247,13-Mar-18
19.2288,19.2288,19.2288,14-Mar-18
19.2398,19.2398,19.2398,15-Mar-18
19.2555,19.2555,19.2555,16-Mar-18
19.2642,19.2642,19.2642,19-Mar-18
19.2625,19.2625,19.2625,20-Mar-18
19.2618,19.2618,19.2618,21-Mar-18
19.2659,19.2659,19.2659,22-Mar-18
19.27,19.27,19.27,23-Mar-18
19.2751,19.2751,19.2751,26-Mar-18
19.3075,19.3075,19.3075,27-Mar-18
19.3234,19.3234,19.3234,28-Mar-18
19.3589,19.3589,19.3589,03-Apr-18
19.3652,19.3652,19.3652,04-Apr-18
19.3875,19.3875,19.3875,05-Apr-18
19.3967,19.3967,19.3967,06-Apr-18
19.4063,19.4063,19.4063,09-Apr-18
19.3998,19.3998,19.3998,10-Apr-18
19.3908,19.3908,19.3908,11-Apr-18
19.3904,19.3904,19.3904,12-Apr-18
19.3926,19.3926,19.3926,13-Apr-18
19.4023,19.4023,19.4023,16-Apr-18
19.4044,19.4044,19.4044,17-Apr-18
19.3979,19.3979,19.3979,18-Apr-18
19.3851,19.3851,19.3851,19-Apr-18
19.3649,19.3649,19.3649,20-Apr-18
19.3618,19.3618,19.3618,23-Apr-18
19.3596,19.3596,19.3596,24-Apr-18
19.3485,19.3485,19.3485,25-Apr-18
19.3357,19.3357,19.3357,26-Apr-18
19.3312,19.3312,19.3312,27-Apr-18
19.3629,19.3629,19.3629,02-May-18
19.3653,19.3653,19.3653,03-May-18
19.3649,19.3649,19.3649,04-May-18
19.3818,19.3818,19.3818,07-May-18
19.3819,19.3819,19.3819,08-May-18
19.3732,19.3732,19.3732,09-May-18
19.3666,19.3666,19.3666,10-May-18
19.3618,19.3618,19.3618,11-May-18
19.3567,19.3567,19.3567,14-May-18
19.3422,19.3422,19.3422,15-May-18
19.323,19.323,19.323,16-May-18
19.3176,19.3176,19.3176,17-May-18
19.3288,19.3288,19.3288,18-May-18
