Net Asset Value,Repurchase Price,Sale Price,NAV date
39.3527,38.9592,39.3527,01-Mar-18
39.3183,38.9251,39.3183,05-Mar-18
39.2731,38.8804,39.2731,06-Mar-18
39.3226,38.9294,39.3226,07-Mar-18
39.3672,38.9735,39.3672,08-Mar-18
39.3453,38.9518,39.3453,09-Mar-18
39.4447,39.0503,39.4447,12-Mar-18
39.4805,39.0857,39.4805,13-Mar-18
39.5106,39.1155,39.5106,14-Mar-18
39.5744,39.1787,39.5744,15-Mar-18
39.5785,39.1827,39.5785,16-Mar-18
39.4859,39.091,39.4859,19-Mar-18
39.4745,39.0798,39.4745,20-Mar-18
39.5233,39.1281,39.5233,21-Mar-18
39.5101,39.115,39.5101,22-Mar-18
39.4758,39.081,39.4758,23-Mar-18
39.5065,39.1114,39.5065,26-Mar-18
39.8706,39.4719,39.8706,27-Mar-18
39.8318,39.4335,39.8318,28-Mar-18
40.056,39.6554,40.056,03-Apr-18
40.0805,39.6797,40.0805,04-Apr-18
40.373,39.9693,40.373,05-Apr-18
40.3822,39.9784,40.3822,06-Apr-18
40.4803,40.0755,40.4803,09-Apr-18
40.3745,39.9708,40.3745,10-Apr-18
40.2887,39.8858,40.2887,11-Apr-18
40.2881,39.8852,40.2881,12-Apr-18
40.3279,39.9246,40.3279,13-Apr-18
40.3376,39.9342,40.3376,16-Apr-18
40.3338,39.9305,40.3338,17-Apr-18
40.2652,39.8625,40.2652,18-Apr-18
40.2052,39.8031,40.2052,19-Apr-18
40.1969,39.7949,40.1969,20-Apr-18
40.2023,39.8003,40.2023,23-Apr-18
40.2145,39.8124,40.2145,24-Apr-18
40.1276,39.7263,40.1276,25-Apr-18
40.0608,39.6602,40.0608,26-Apr-18
40.0766,39.6758,40.0766,27-Apr-18
40.1116,39.7105,40.1116,02-May-18
40.0472,39.6467,40.0472,03-May-18
40.0383,39.6379,40.0383,04-May-18
40.0981,39.6971,40.0981,07-May-18
40.1221,39.7209,40.1221,08-May-18
40.0397,39.6393,40.0397,09-May-18
39.9918,39.5919,39.9918,10-May-18
39.9757,39.5759,39.9757,11-May-18
39.8738,39.4751,39.8738,14-May-18
39.7738,39.3761,39.7738,15-May-18
39.7055,39.3084,39.7055,16-May-18
39.7078,39.3107,39.7078,17-May-18
39.6999,39.3029,39.6999,18-May-18
39.5928,39.1969,39.5928,21-May-18
39.6496,39.2531,39.6496,22-May-18
39.558,39.1624,39.558,23-May-18
39.5557,39.1601,39.5557,24-May-18
39.6983,39.3013,39.6983,25-May-18
39.8656,39.4669,39.8656,28-May-18
39.8222,39.424,39.8222,29-May-18
39.8013,39.4033,39.8013,30-May-18
39.7241,39.3269,39.7241,31-May-18
39.6497,39.2532,39.6497,01-Jun-18
39.6102,39.2141,39.6102,04-Jun-18
39.5096,39.1145,39.5096,05-Jun-18
39.5477,39.1522,39.5477,06-Jun-18
39.5579,39.1623,39.5579,07-Jun-18
39.6137,39.2176,39.6137,08-Jun-18
39.6329,39.2366,39.6329,11-Jun-18
39.6813,39.2845,39.6813,12-Jun-18
39.6924,39.2955,39.6924,13-Jun-18
39.6751,39.2783,39.6751,14-Jun-18
39.6852,39.2883,39.6852,15-Jun-18
39.6813,39.2845,39.6813,18-Jun-18
39.6119,39.2158,39.6119,19-Jun-18
39.6416,39.2452,39.6416,20-Jun-18
39.6718,39.2751,39.6718,21-Jun-18
39.7147,39.3176,39.7147,22-Jun-18
39.6263,39.23,39.6263,25-Jun-18
39.6376,39.2412,39.6376,26-Jun-18
39.5026,39.1076,39.5026,27-Jun-18
39.3482,38.9547,39.3482,28-Jun-18
39.5302,39.1349,39.5302,29-Jun-18
39.4581,39.0635,39.4581,02-Jul-18
39.5318,,,03-Jul-18
39.5651,,,04-Jul-18
39.5143,,,05-Jul-18
39.5465,,,06-Jul-18
39.6412,,,09-Jul-18
39.7279,,,10-Jul-18
39.6712,,,11-Jul-18
39.7789,,,12-Jul-18
39.78,,,13-Jul-18
39.6489,,,16-Jul-18
39.7799,,,17-Jul-18
39.6587,,,18-Jul-18
39.5852,,,19-Jul-18
39.6465,,,20-Jul-18
39.7678,,,23-Jul-18
39.8625,,,24-Jul-18
39.8885,,,25-Jul-18
39.968,,,26-Jul-18
40.0302,,,27-Jul-18
40.0339,,,30-Jul-18
40.0354,,,31-Jul-18
40.0582,,,01-Aug-18
40.0344,,,02-Aug-18
40.0681,,,03-Aug-18
40.1172,,,06-Aug-18
40.1172,,,07-Aug-18
40.1026,,,08-Aug-18
40.0864,,,09-Aug-18
40.0491,,,10-Aug-18
39.9015,,,13-Aug-18
39.9536,,,14-Aug-18
39.8354,,,16-Aug-18
40.0468,,,20-Aug-18
40.0561,,,21-Aug-18
40.0354,,,23-Aug-18
39.9742,,,24-Aug-18
40.0666,,,27-Aug-18
40.0884,,,28-Aug-18
40.0819,,,29-Aug-18
40.0476,,,30-Aug-18
40.0523,,,31-Aug-18
39.9792,,,03-Sep-18
39.7803,,,04-Sep-18
39.6745,,,05-Sep-18
39.6986,,,06-Sep-18
39.8031,,,07-Sep-18
39.6102,,,10-Sep-18
39.4643,,,11-Sep-18
39.493,,,12-Sep-18
39.6039,,,14-Sep-18
39.5471,,,17-Sep-18
39.4638,,,18-Sep-18
39.4481,,,19-Sep-18
39.2944,,,21-Sep-18
39.0771,,,24-Sep-18
39.134,,,25-Sep-18
39.1807,,,26-Sep-18
39.1399,,,27-Sep-18
39.05,,,28-Sep-18
39.1087,,,01-Oct-18
38.9419,,,03-Oct-18
38.7853,,,04-Oct-18
38.6623,,,05-Oct-18
38.6323,,,08-Oct-18
38.5433,,,09-Oct-18
38.8053,,,10-Oct-18
38.6348,,,11-Oct-18
38.8702,,,12-Oct-18
38.9241,,,15-Oct-18
39.0103,,,16-Oct-18
38.8023,,,17-Oct-18
