Net Asset Value,Repurchase Price,Sale Price,NAV date
23.7731,23.5354,23.7731,07-Aug-13
23.8359,23.5975,23.8359,08-Aug-13
23.7805,23.5427,23.7805,12-Aug-13
23.7415,23.5041,23.7415,13-Aug-13
23.7271,23.4898,23.7271,14-Aug-13
23.3985,23.1645,23.3985,16-Aug-13
23.0489,22.8184,23.0489,19-Aug-13
23.2586,23.026,23.2586,20-Aug-13
23.6285,23.3922,23.6285,21-Aug-13
23.7605,23.5229,23.7605,22-Aug-13
23.796,23.558,23.796,23-Aug-13
23.7706,23.5329,23.7706,26-Aug-13
23.4033,23.1693,23.4033,27-Aug-13
23.2139,22.9818,23.2139,28-Aug-13
23.3995,23.1655,23.3995,29-Aug-13
23.5171,23.2819,23.5171,30-Aug-13
23.6908,23.4539,23.6908,02-Sep-13
23.5494,23.3139,23.5494,03-Sep-13
23.7246,23.4874,23.7246,04-Sep-13
23.8647,23.6261,23.8647,05-Sep-13
23.7827,23.5449,23.7827,06-Sep-13
23.9578,23.7182,23.9578,10-Sep-13
24.027,23.7867,24.027,11-Sep-13
23.9541,23.7146,23.9541,12-Sep-13
23.9607,23.7211,23.9607,13-Sep-13
24.0054,23.7653,24.0054,16-Sep-13
24.0191,23.7789,24.0191,17-Sep-13
24.1071,23.866,24.1071,18-Sep-13
24.413,24.1689,24.413,19-Sep-13
24.1147,23.8736,24.1147,20-Sep-13
23.9137,23.6746,23.9137,23-Sep-13
23.9027,23.6637,23.9027,24-Sep-13
23.8919,23.653,23.8919,25-Sep-13
23.9505,23.711,23.9505,26-Sep-13
23.9397,23.7003,23.9397,27-Sep-13
23.8942,23.6553,23.8942,30-Sep-13
23.9661,23.7264,23.9661,01-Oct-13
24.0809,23.8401,24.0809,03-Oct-13
24.156,23.9144,24.156,04-Oct-13
24.1512,23.9097,24.1512,07-Oct-13
24.32,24.0768,24.32,08-Oct-13
24.4256,24.1813,24.4256,09-Oct-13
24.4523,24.2078,24.4523,10-Oct-13
24.4577,24.2131,24.4577,11-Oct-13
24.4045,24.1605,24.4045,14-Oct-13
24.3063,24.0632,24.3063,15-Oct-13
24.3551,24.1115,24.3551,17-Oct-13
24.4668,24.2221,24.4668,18-Oct-13
24.484,24.2392,24.484,21-Oct-13
24.4854,24.2405,24.4854,22-Oct-13
24.4713,24.2266,24.4713,23-Oct-13
24.5031,24.2581,24.5031,24-Oct-13
24.4774,24.2326,24.4774,25-Oct-13
24.4119,24.1678,24.4119,28-Oct-13
24.5656,24.3199,24.5656,29-Oct-13
24.5638,24.3182,24.5638,30-Oct-13
24.5728,24.3271,24.5728,31-Oct-13
24.5549,24.3094,24.5549,01-Nov-13
24.5663,24.3206,24.5663,05-Nov-13
24.4903,24.2454,24.4903,06-Nov-13
24.4285,24.1842,24.4285,07-Nov-13
24.3286,24.0853,24.3286,08-Nov-13
24.2936,24.0507,24.2936,11-Nov-13
24.1908,23.9489,24.1908,12-Nov-13
24.2628,24.0202,24.2628,13-Nov-13
24.2614,24.0188,24.2614,14-Nov-13
24.3675,24.1238,24.3675,18-Nov-13
24.3954,24.1514,24.3954,19-Nov-13
24.364,24.1204,24.364,20-Nov-13
24.2993,24.0563,24.2993,21-Nov-13
24.2957,24.0527,24.2957,22-Nov-13
24.3997,24.1557,24.3997,25-Nov-13
24.3918,24.1479,24.3918,26-Nov-13
24.4408,24.1964,24.4408,27-Nov-13
24.4746,24.2299,24.4746,28-Nov-13
24.5208,24.2756,24.5208,29-Nov-13
24.5713,24.3256,24.5713,02-Dec-13
24.565,24.3194,24.565,03-Dec-13
24.5527,24.3072,24.5527,04-Dec-13
24.6244,24.3782,24.6244,05-Dec-13
