Net Asset Value,Repurchase Price,Sale Price,NAV date
56.511,55.946,56.511,01-Mar-18
56.109,55.548,56.109,05-Mar-18
55.452,54.897,55.452,06-Mar-18
54.721,54.174,54.721,07-Mar-18
55.281,54.728,55.281,08-Mar-18
54.839,54.291,54.839,09-Mar-18
55.453,54.898,55.453,12-Mar-18
55.789,55.231,55.789,13-Mar-18
55.69,55.133,55.69,14-Mar-18
55.591,55.035,55.591,15-Mar-18
54.783,54.235,54.783,16-Mar-18
54.174,53.632,54.174,19-Mar-18
54.349,53.806,54.349,20-Mar-18
54.402,53.858,54.402,21-Mar-18
53.633,53.097,53.633,22-Mar-18
52.975,52.445,52.975,23-Mar-18
53.61,53.074,53.61,26-Mar-18
54.029,53.489,54.029,27-Mar-18
53.627,53.091,53.627,28-Mar-18
54.106,53.565,54.106,02-Apr-18
54.588,54.042,54.588,03-Apr-18
53.895,53.356,53.895,04-Apr-18
55.056,54.505,55.056,05-Apr-18
55.247,54.695,55.247,06-Apr-18
55.3,54.747,55.3,09-Apr-18
55.663,55.106,55.663,10-Apr-18
55.431,54.877,55.431,11-Apr-18
55.436,54.882,55.436,12-Apr-18
55.267,54.714,55.267,13-Apr-18
55.181,54.629,55.181,16-Apr-18
55.299,54.746,55.299,17-Apr-18
55.219,54.667,55.219,18-Apr-18
55.195,54.643,55.195,19-Apr-18
54.895,54.346,54.895,20-Apr-18
55.007,54.457,55.007,23-Apr-18
54.803,54.255,54.803,24-Apr-18
54.276,53.733,54.276,25-Apr-18
54.143,53.602,54.143,26-Apr-18
54.695,54.148,54.695,27-Apr-18
55.211,54.659,55.211,30-Apr-18
54.834,54.286,54.834,02-May-18
54.431,53.887,54.431,03-May-18
54.438,53.894,54.438,04-May-18
54.74,54.193,54.74,07-May-18
54.896,54.347,54.896,08-May-18
54.841,54.293,54.841,09-May-18
54.496,53.951,54.496,10-May-18
54.837,54.289,54.837,11-May-18
54.843,54.295,54.843,14-May-18
54.433,53.889,54.433,15-May-18
53.957,53.417,53.957,16-May-18
53.909,53.37,53.909,17-May-18
52.871,52.342,52.871,18-May-18
52.285,51.762,52.285,21-May-18
52.723,52.196,52.723,22-May-18
52.262,51.739,52.262,23-May-18
52.458,51.933,52.458,24-May-18
52.911,52.382,52.911,25-May-18
53.939,53.4,53.939,28-May-18
53.54,53.005,53.54,29-May-18
53.051,52.52,53.051,30-May-18
53.327,52.794,53.327,31-May-18
52.914,52.385,52.914,01-Jun-18
52.545,52.02,52.545,04-Jun-18
52.239,51.717,52.239,05-Jun-18
52.528,52.003,52.528,06-Jun-18
52.912,0,0,07-Jun-18
52.923,0,0,08-Jun-18
52.923,0,0,11-Jun-18
53.169,0,0,12-Jun-18
53.153,0,0,13-Jun-18
53.042,0,0,14-Jun-18
52.904,0,0,15-Jun-18
52.84,0,0,18-Jun-18
52.551,0,0,19-Jun-18
52.666,0,0,20-Jun-18
52.519,0,0,21-Jun-18
52.699,0,0,22-Jun-18
52.392,0,0,25-Jun-18
52.372,0,0,26-Jun-18
51.977,0,0,27-Jun-18
51.545,0,0,28-Jun-18
52.041,0,0,29-Jun-18
51.901,0,0,02-Jul-18
52.029,,,03-Jul-18
52.142,,,04-Jul-18
51.992,,,05-Jul-18
52.188,,,06-Jul-18
52.578,,,09-Jul-18
52.82,,,10-Jul-18
52.673,,,11-Jul-18
52.765,,,12-Jul-18
52.571,,,13-Jul-18
52.094,,,16-Jul-18
52.556,,,17-Jul-18
52.298,,,18-Jul-18
52.183,,,19-Jul-18
52.418,,,20-Jul-18
52.805,,,23-Jul-18
53.214,,,24-Jul-18
53.14,,,25-Jul-18
53.423,,,26-Jul-18
53.779,,,27-Jul-18
53.99,,,30-Jul-18
53.979,,,31-Jul-18
53.936,,,01-Aug-18
53.847,,,02-Aug-18
54.236,,,03-Aug-18
54.424,,,06-Aug-18
54.379,,,07-Aug-18
54.516,,,08-Aug-18
54.721,,,09-Aug-18
54.53,,,10-Aug-18
54.157,,,13-Aug-18
54.298,,,14-Aug-18
54.183,,,16-Aug-18
54.499,,,17-Aug-18
54.737,,,20-Aug-18
54.807,,,21-Aug-18
54.723,,,23-Aug-18
54.642,,,24-Aug-18
54.982,,,27-Aug-18
55.051,,,28-Aug-18
55.022,,,29-Aug-18
55.144,,,30-Aug-18
55.288,,,31-Aug-18
54.97,,,03-Sep-18
54.482,,,04-Sep-18
54.293,,,05-Sep-18
54.592,,,06-Sep-18
54.789,,,07-Sep-18
54.348,,,10-Sep-18
53.816,,,11-Sep-18
53.93,,,12-Sep-18
54.517,,,14-Sep-18
54.175,,,17-Sep-18
