Net Asset Value,Repurchase Price,Sale Price,NAV date
22.444,22.22,22.444,20-Aug-13
22.06,21.839,22.06,21-Aug-13
22.464,22.239,22.464,22-Aug-13
22.786,22.558,22.786,23-Aug-13
22.854,22.625,22.854,26-Aug-13
22.223,22.001,22.223,27-Aug-13
22.038,21.818,22.038,28-Aug-13
22.313,22.09,22.313,29-Aug-13
22.464,22.239,22.464,30-Aug-13
22.815,22.587,22.815,02-Sep-13
22.139,21.918,22.139,03-Sep-13
22.492,22.267,22.492,04-Sep-13
23.173,22.941,23.173,05-Sep-13
23.434,23.2,23.434,06-Sep-13
24.002,23.762,24.002,10-Sep-13
24.396,24.152,24.396,11-Sep-13
24.067,23.826,24.067,12-Sep-13
24.174,23.932,24.174,13-Sep-13
24.127,23.886,24.127,16-Sep-13
24.096,23.855,24.096,17-Sep-13
24.355,24.111,24.355,18-Sep-13
25.317,25.064,25.317,19-Sep-13
24.761,24.513,24.761,20-Sep-13
24.205,23.963,24.205,23-Sep-13
24.071,23.83,24.071,24-Sep-13
24.11,23.869,24.11,25-Sep-13
24.186,23.944,24.186,26-Sep-13
24.094,23.853,24.094,27-Sep-13
23.701,23.464,23.701,30-Sep-13
23.893,23.654,23.893,01-Oct-13
24.45,24.206,24.45,03-Oct-13
24.504,24.259,24.504,04-Oct-13
24.576,24.33,24.576,07-Oct-13
24.587,24.341,24.587,08-Oct-13
24.843,24.595,24.843,09-Oct-13
25.093,24.842,25.093,10-Oct-13
25.54,25.285,25.54,11-Oct-13
25.62,25.364,25.62,14-Oct-13
25.455,25.2,25.455,15-Oct-13
25.063,24.812,25.063,17-Oct-13
25.686,25.429,25.686,18-Oct-13
25.925,25.666,25.925,21-Oct-13
26.025,25.765,26.025,22-Oct-13
26.033,25.773,26.033,23-Oct-13
26.037,25.777,26.037,24-Oct-13
25.874,25.615,25.874,25-Oct-13
25.673,25.416,25.673,28-Oct-13
26.24,25.978,26.24,29-Oct-13
26.303,26.04,26.303,30-Oct-13
26.804,26.536,26.804,31-Oct-13
27.271,26.998,27.271,01-Nov-13
27.357,27.083,27.357,05-Nov-13
27.212,26.94,27.212,06-Nov-13
26.907,26.638,26.907,07-Nov-13
26.876,26.607,26.876,08-Nov-13
26.545,26.28,26.545,11-Nov-13
26.174,25.912,26.174,12-Nov-13
26.068,25.807,26.068,13-Nov-13
26.643,26.377,26.643,14-Nov-13
27.175,26.903,27.175,18-Nov-13
27.41,27.136,27.41,19-Nov-13
27.063,26.792,27.063,20-Nov-13
26.517,26.252,26.517,21-Nov-13
26.539,26.274,26.539,22-Nov-13
27.19,26.918,27.19,25-Nov-13
26.831,26.563,26.831,26-Nov-13
26.911,26.642,26.911,27-Nov-13
27.059,26.788,27.059,28-Nov-13
27.591,27.315,27.591,29-Nov-13
27.874,27.595,27.874,02-Dec-13
27.873,27.594,27.873,03-Dec-13
27.765,27.487,27.765,04-Dec-13
28.334,28.051,28.334,05-Dec-13
28.47,28.185,28.47,06-Dec-13
29.053,28.762,29.053,09-Dec-13
28.678,28.391,28.678,10-Dec-13
28.378,28.094,28.378,11-Dec-13
28.056,27.775,28.056,12-Dec-13
27.656,27.379,27.656,13-Dec-13
27.696,27.419,27.696,16-Dec-13
27.729,27.452,27.729,17-Dec-13
28.077,27.796,28.077,18-Dec-13
27.849,27.571,27.849,19-Dec-13
28.295,28.012,28.295,20-Dec-13
28.515,28.23,28.515,23-Dec-13
28.508,28.223,28.508,24-Dec-13
28.664,28.377,28.664,26-Dec-13
28.794,28.506,28.794,27-Dec-13
28.658,28.371,28.658,30-Dec-13
28.738,28.451,28.738,31-Dec-13
28.744,28.457,28.744,01-Jan-14
28.268,27.985,28.268,02-Jan-14
28.236,27.954,28.236,03-Jan-14
28.133,27.852,28.133,06-Jan-14
27.89,27.611,27.89,07-Jan-14
27.905,27.626,27.905,08-Jan-14
27.707,27.43,27.707,09-Jan-14
27.558,27.282,27.558,10-Jan-14
27.941,27.662,27.941,13-Jan-14
27.792,27.514,27.792,14-Jan-14
28.005,27.725,28.005,15-Jan-14
27.999,27.719,27.999,16-Jan-14
27.728,27.451,27.728,17-Jan-14
27.997,27.717,27.997,20-Jan-14
28.084,27.803,28.084,21-Jan-14
28.206,27.924,28.206,22-Jan-14
28.21,27.928,28.21,23-Jan-14
27.722,27.445,27.722,24-Jan-14
27.047,26.777,27.047,27-Jan-14
27.079,26.808,27.079,28-Jan-14
27.027,26.757,27.027,29-Jan-14
26.811,26.543,26.811,30-Jan-14
27.138,26.867,27.138,31-Jan-14
