Net Asset Value,Repurchase Price,Sale Price,NAV date
130.1736,128.8719,130.1736,05-Mar-18
128.923,127.6338,128.923,06-Mar-18
127.9632,126.6836,127.9632,07-Mar-18
128.6197,127.3335,128.6197,08-Mar-18
128.589,127.3031,128.589,09-Mar-18
129.4434,128.149,129.4434,12-Mar-18
129.6014,128.3054,129.6014,13-Mar-18
129.5872,128.2913,129.5872,14-Mar-18
129.6701,128.3734,129.6701,15-Mar-18
128.6771,127.3903,128.6771,16-Mar-18
127.5509,126.2754,127.5509,19-Mar-18
127.7841,126.5063,127.7841,20-Mar-18
128.0825,126.8017,128.0825,21-Mar-18
127.733,126.4557,127.733,22-Mar-18
126.9659,125.6962,126.9659,23-Mar-18
128.0144,126.7343,128.0144,26-Mar-18
129.5183,128.2231,129.5183,27-Mar-18
128.83,127.5417,128.83,28-Mar-18
129.9052,128.6061,129.9052,02-Apr-18
130.4657,129.161,130.4657,03-Apr-18
129.9364,128.637,129.9364,04-Apr-18
131.634,130.3177,131.634,05-Apr-18
131.6654,130.3487,131.6654,06-Apr-18
132.3001,130.9771,132.3001,09-Apr-18
132.1867,130.8648,132.1867,10-Apr-18
132.1541,130.8326,132.1541,11-Apr-18
132.5307,131.2054,132.5307,12-Apr-18
132.4649,131.1403,132.4649,13-Apr-18
132.8122,131.4841,132.8122,16-Apr-18
132.9875,131.6576,132.9875,17-Apr-18
132.7618,131.4342,132.7618,18-Apr-18
133.3559,132.0223,133.3559,19-Apr-18
133.9253,132.586,133.9253,20-Apr-18
134.1084,132.7673,134.1084,23-Apr-18
134.0277,132.6874,134.0277,24-Apr-18
133.4934,132.1585,133.4934,25-Apr-18
133.688,132.3511,133.688,26-Apr-18
133.8791,132.5403,133.8791,27-Apr-18
134.4879,133.143,134.4879,30-Apr-18
134.2417,132.8993,134.2417,02-May-18
133.2485,131.916,133.2485,03-May-18
132.9174,131.5882,132.9174,04-May-18
133.2861,131.9532,133.2861,07-May-18
133.6383,132.3019,133.6383,08-May-18
133.4966,132.1616,133.4966,09-May-18
133.185,131.8532,133.185,10-May-18
133.2142,131.8821,133.2142,11-May-18
132.7933,131.4654,132.7933,14-May-18
132.6736,131.3469,132.6736,15-May-18
132.4915,131.1666,132.4915,16-May-18
132.4753,131.1505,132.4753,17-May-18
131.9422,130.6228,131.9422,18-May-18
131.2754,129.9626,131.2754,21-May-18
131.6774,130.3606,131.6774,22-May-18
131.2575,129.9449,131.2575,23-May-18
131.9466,130.6271,131.9466,24-May-18
132.8829,131.5541,132.8829,25-May-18
133.5301,132.1948,133.5301,28-May-18
132.9931,131.6632,132.9931,29-May-18
133.3021,131.9691,133.3021,30-May-18
133.8043,132.4663,133.8043,31-May-18
133.1714,131.8397,133.1714,01-Jun-18
132.2009,130.8789,132.2009,04-Jun-18
131.3497,130.0362,131.3497,05-Jun-18
132.3985,131.0745,132.3985,06-Jun-18
132.775,131.4473,132.775,07-Jun-18
133.061,131.7304,133.061,08-Jun-18
133.1193,131.7881,133.1193,11-Jun-18
133.836,132.4976,133.836,12-Jun-18
133.718,132.3808,133.718,13-Jun-18
133.6495,132.313,133.6495,14-Jun-18
133.61,132.2739,133.61,15-Jun-18
133.3244,131.9912,133.3244,18-Jun-18
132.662,131.3354,132.662,19-Jun-18
132.6589,131.3323,132.6589,20-Jun-18
132.4117,131.0876,132.4117,21-Jun-18
132.9325,131.6032,132.9325,22-Jun-18
132.319,130.9958,132.319,25-Jun-18
132.2159,130.8937,132.2159,26-Jun-18
131.2336,129.9213,131.2336,27-Jun-18
130.4314,129.1271,130.4314,28-Jun-18
131.4412,130.1268,131.4412,29-Jun-18
130.8823,129.5735,130.8823,02-Jul-18
131.4871,,,03-Jul-18
131.9436,,,04-Jul-18
131.6964,,,05-Jul-18
131.9414,,,06-Jul-18
132.5163,,,09-Jul-18
133.0149,,,10-Jul-18
133.0158,,,11-Jul-18
133.4426,,,12-Jul-18
132.9135,,,13-Jul-18
131.4183,,,16-Jul-18
132.4216,,,17-Jul-18
132.2139,,,18-Jul-18
131.8496,,,19-Jul-18
132.6895,,,20-Jul-18
133.5712,,,23-Jul-18
133.9181,,,24-Jul-18
134.1254,,,25-Jul-18
134.7249,,,26-Jul-18
135.5888,,,27-Jul-18
136.0977,,,30-Jul-18
135.9829,,,31-Jul-18
136.1529,,,01-Aug-18
136.0405,,,02-Aug-18
137.0183,,,03-Aug-18
137.4703,,,06-Aug-18
137.1605,,,07-Aug-18
137.5288,,,08-Aug-18
137.7741,,,09-Aug-18
137.4579,,,10-Aug-18
136.4863,,,13-Aug-18
137.1073,,,14-Aug-18
136.6192,,,16-Aug-18
137.2633,,,17-Aug-18
137.8206,,,20-Aug-18
138.1496,,,21-Aug-18
137.9732,,,23-Aug-18
137.478,,,24-Aug-18
138.5503,,,27-Aug-18
138.5034,,,28-Aug-18
138.5787,,,29-Aug-18
138.7143,,,30-Aug-18
138.8556,,,31-Aug-18
138.2047,,,03-Sep-18
137.0374,,,04-Sep-18
136.6776,,,05-Sep-18
137.2628,,,06-Sep-18
137.4923,,,07-Sep-18
135.9964,,,10-Sep-18
134.7841,,,11-Sep-18
135.6193,,,12-Sep-18
136.6155,,,14-Sep-18
136.0663,,,17-Sep-18
134.9864,,,18-Sep-18
134.7867,,,19-Sep-18
134.0557,,,21-Sep-18
132.0977,,,24-Sep-18
132.581,,,25-Sep-18
132.3011,,,26-Sep-18
131.5516,,,27-Sep-18
131.1409,,,28-Sep-18
131.2857,,,01-Oct-18
130.3007,,,03-Oct-18
128.5495,,,04-Oct-18
126.6532,,,05-Oct-18
126.404,,,08-Oct-18
125.8726,,,09-Oct-18
128.0484,,,10-Oct-18
126.1497,,,11-Oct-18
127.9464,,,12-Oct-18
128.6273,,,15-Oct-18
129.3958,,,16-Oct-18
127.8521,,,17-Oct-18
127.1655,,,19-Oct-18
126.6049,,,22-Oct-18
125.647,,,23-Oct-18
126.6753,,,24-Oct-18
126.2653,,,25-Oct-18
125.851,,,26-Oct-18
127.536,,,29-Oct-18
127.7356,,,30-Oct-18
128.7975,,,31-Oct-18
129.0433,,,01-Nov-18
130.2009,,,02-Nov-18
130.1262,,,05-Nov-18
129.7281,,,06-Nov-18
130.7422,,,09-Nov-18
129.6447,,,12-Nov-18
130.225,,,13-Nov-18
130.6128,,,14-Nov-18
131.1782,,,15-Nov-18
132.0056,,,16-Nov-18
132.2207,,,19-Nov-18
131.5231,,,20-Nov-18
131.5106,,,21-Nov-18
131.1063,,,22-Nov-18
131.7241,,,26-Nov-18
132.2848,,,27-Nov-18
132.0857,,,28-Nov-18
132.9583,,,29-Nov-18
133.0736,,,30-Nov-18
133.2501,,,03-Dec-18
133.6026,,,04-Dec-18
132.819,,,05-Dec-18
131.5743,,,06-Dec-18
132.4987,,,07-Dec-18
130.6021,,,10-Dec-18
131.3376,,,11-Dec-18
133.3879,,,12-Dec-18
134.0059,,,13-Dec-18
134.4707,,,14-Dec-18
134.6055,,,17-Dec-18
135.03,,,18-Dec-18
135.979,,,19-Dec-18
135.9085,,,20-Dec-18
134.7269,,,21-Dec-18
133.7454,,,24-Dec-18
134.203,,,26-Dec-18
134.5627,,,27-Dec-18
135.1493,,,28-Dec-18
135.5902,,,31-Dec-18
135.9074,,,01-Jan-19
135.1069,,,02-Jan-19
134.4502,,,03-Jan-19
134.7053,,,04-Jan-19
134.8695,,,07-Jan-19
134.5441,,,08-Jan-19
134.5793,,,09-Jan-19
134.7782,,,10-Jan-19
134.598,,,11-Jan-19
134.3753,,,14-Jan-19
135.2105,,,15-Jan-19
135.1743,,,16-Jan-19
135.1376,,,17-Jan-19
134.6228,,,18-Jan-19
134.8997,,,21-Jan-19
134.8922,,,22-Jan-19
134.1728,,,23-Jan-19
134.1464,,,24-Jan-19
133.6193,,,25-Jan-19
132.2637,,,28-Jan-19
132.2606,,,29-Jan-19
132.2059,,,30-Jan-19
133.241,,,31-Jan-19
133.1258,,,01-Feb-19
133.2616,,,04-Feb-19
133.2569,,,05-Feb-19
133.977,,,06-Feb-19
134.4408,,,07-Feb-19
134.0972,,,08-Feb-19
133.431,,,11-Feb-19
132.8395,,,12-Feb-19
132.6771,,,13-Feb-19
132.2626,,,14-Feb-19
131.8924,,,15-Feb-19
131.1059,,,18-Feb-19
131.4105,,,19-Feb-19
132.4091,,,20-Feb-19
132.7618,,,21-Feb-19
132.9494,,,22-Feb-19
133.4941,,,25-Feb-19
133.26,,,26-Feb-19
133.1414,,,27-Feb-19
133.3523,,,28-Feb-19
134.0087,,,01-Mar-19
135.5992,,,05-Mar-19
136.3959,,,06-Mar-19
136.478,,,07-Mar-19
136.7624,,,08-Mar-19
138.3156,,,11-Mar-19
139.0529,,,12-Mar-19
139.3281,,,13-Mar-19
139.4305,,,14-Mar-19
139.8404,,,15-Mar-19
140.0602,,,18-Mar-19
140.5989,,,19-Mar-19
