Net Asset Value,Repurchase Price,Sale Price,NAV date
56.096,55.535,56.096,29-Jul-13
55.4484,54.8939,55.4484,30-Jul-13
55.3109,54.7578,55.3109,31-Jul-13
55.1258,54.5745,55.1258,01-Aug-13
54.8873,54.3384,54.8873,02-Aug-13
55.0079,54.4578,55.0079,05-Aug-13
54.2827,53.7399,54.2827,06-Aug-13
54.3775,53.8337,54.3775,07-Aug-13
54.7075,54.1604,54.7075,08-Aug-13
54.7909,54.243,54.7909,12-Aug-13
55.0244,54.4742,55.0244,13-Aug-13
55.4201,54.8659,55.4201,14-Aug-13
54.1159,53.5747,54.1159,16-Aug-13
53.2541,52.7216,53.2541,19-Aug-13
53.3188,52.7856,53.3188,20-Aug-13
53.2336,52.7013,53.2336,21-Aug-13
53.6624,53.1258,53.6624,22-Aug-13
54.0116,53.4715,54.0116,23-Aug-13
54.1249,53.5837,54.1249,26-Aug-13
53.0068,52.4767,53.0068,27-Aug-13
52.7274,52.2001,52.7274,28-Aug-13
53.3904,52.8565,53.3904,29-Aug-13
53.514,52.9789,53.514,30-Aug-13
53.8974,53.3584,53.8974,02-Sep-13
53.1623,52.6307,53.1623,03-Sep-13
53.5215,52.9863,53.5215,04-Sep-13
54.4825,53.9377,54.4825,05-Sep-13
54.7441,54.1967,54.7441,06-Sep-13
55.5722,55.0165,55.5722,10-Sep-13
55.8307,55.2724,55.8307,11-Sep-13
55.7166,55.1594,55.7166,12-Sep-13
55.748,55.1905,55.748,13-Sep-13
55.8124,55.2543,55.8124,16-Sep-13
55.8781,55.3193,55.8781,17-Sep-13
56.1166,55.5554,56.1166,18-Sep-13
57.1717,56.6,57.1717,19-Sep-13
56.612,56.0459,56.612,20-Sep-13
56.0762,55.5154,56.0762,23-Sep-13
55.9489,55.3894,55.9489,24-Sep-13
55.9466,55.3871,55.9466,25-Sep-13
56.0419,55.4815,56.0419,26-Sep-13
55.8639,55.3053,55.8639,27-Sep-13
55.5016,54.9466,55.5016,30-Sep-13
55.8406,55.2822,55.8406,01-Oct-13
56.4475,55.883,56.4475,03-Oct-13
56.5983,56.0323,56.5983,04-Oct-13
56.7025,56.1355,56.7025,07-Oct-13
56.9375,56.3681,56.9375,08-Oct-13
57.4156,56.8414,57.4156,09-Oct-13
57.5461,56.9706,57.5461,10-Oct-13
57.8738,57.2951,57.8738,11-Oct-13
57.7966,57.2186,57.7966,14-Oct-13
57.3727,56.799,57.3727,15-Oct-13
57.3104,56.7373,57.3104,17-Oct-13
57.868,57.2893,57.868,18-Oct-13
58.0715,57.4908,58.0715,21-Oct-13
58.4011,57.8171,58.4011,22-Oct-13
58.3741,57.7904,58.3741,23-Oct-13
58.4435,57.8591,58.4435,24-Oct-13
58.4534,57.8689,58.4534,25-Oct-13
58.3658,57.7821,58.3658,28-Oct-13
59.1453,58.5538,59.1453,29-Oct-13
59.2776,58.6848,59.2776,30-Oct-13
59.4078,58.8137,59.4078,31-Oct-13
59.6113,59.0152,59.6113,01-Nov-13
60.0357,59.4353,60.0357,05-Nov-13
60.2062,59.6041,60.2062,06-Nov-13
